ACCLIVITY|오르막|sharp upslope cf.declivity|2015-03-13 오후 2:46:15
SULLY|v.:tarnish; soil:더럽히다; 손상하다|He felt that it was beneath his dignity to sully his hands in such menial labor.|그는 그런 육체 노동으로 손을 더럽히는 것을 위신이 손상되는 일이라고 생각했다.  참고:[+] besmirch, defile, stain, taint, tarnish; cf. sullen (부루퉁한)
SULTRY|a.:sweltering; hot, moist weather:찌는 듯이 더운|He could not adjust himself to the sultry climate of the tropics.; Southern Florida is very sultry during the summer month.|그는 열대 지방의 찌는 듯한 기후에 적응할 수가 없었다.  참고:[+] muggy; 찌는 듯이 더우면(sultry) 사람들이 정신이 없어 산만해(desultory) 진다.
SUMMATION|n.:act of finding the total; summary:최종변론; 덧셈; 요약|In his summation, the lawyer emphasized the testimony given by the two witnesses.|최후 변론에서 변호사는 두 사람의 증인이 내놓은 증언을 강조했다.  참고:
SUMPTUARY|a.:limiting or regulating expenditures:비용절감의, 사치를 금하는|While no sumptuary law has been enacted, the public will never tolerate the expenditure of so large a sum.|치를 금하는 어떠한 법도 재정되지 않았지만 국민들은 결코 그렇게 큰 액수의 지출을 용인하지 않을 것이다.  참고:
SUMPTUOUS|a. sumpt(=take, use, waste) + u(=s.e.) + ous(=full, many):costly, luxurious ; magnificent, splendid ; / lavish; rich:값비싼, 사치한, 호사스런 ; 굉장한, 훌륭한 ; cf.sumptuary / 후한; 부유한, 사치스러운|What a chang-from a college dormitory to the sumptuous accommodations of a big-city luxury hotel! ; I cannot recall when I have had such a sumptuous thanksgiving feast.|대학 기숙사에서 대도시 고급호텔의 호사스런 방으로 옮기는 것! 얼마나 큰 변화인가! ; 내가 언제 그런 호화스러운 추수감사제를 했는지 기억할 수가 없다.  참고:[+] luxurious; cf. sumptuary 사치를 금하는
SUNDER|v.:separate; part:분리하다; 나누다|Northern and southern Ireland are politically and religiously sundered.|북아일랜드와 남아일랜드는 정치적, 종교적으로 분리되어 있다.  참고:[+] cleave, dichotomize, dismember, sever
SUNDRY|a.:various; several:다양한; 여러 개의|My suspicions were aroused when I read sundry items in the newspapers about your behavior.|당신의 행동에 대한 신문의 여러 기사들을 읽을 때 의심이 들었다.  참고:[+] multifarious, multitudinal, numerous; 햇빛으로 말리는 방법은 여러가지(sundry)가 있다.
SUPERANNUATED|a.:retired on pension because of age:나이 때문에 연금 받고 퇴직한|The superannuated man was indignant because he felt that he could still perform a good day's work.|퇴직한 그 사람은 아직도 자기는 일과를 훌륭히 해낼 수 있다고 여겼기 때문에 화가 났다.  참고:
SUPERCILIOUS|a.:contemptuous; haughty:남을 얕보는; 건방진, 거만한, 오만한|I resent your supercilious and arrogant attitude.|나는 당신의 거드름피우고 오만한 태도에 대해 분개한다.  참고:[+] arrogant, disdainful, insolent
SUPERFICIAL|a. super(=above, over) + fic(=make, do):of or on the surface only ; not thorough or propound / trivial; shallow:표면의,외면의 ; 피상적인,깊이가 없는,천박한 / 사소한; / 면적의;|Do not be taken in by and superficial resemblances between their half-baked ideas and the sensible program we have proposed. ; Since your report gave only a superficial analysis of the problem, I cannot give you more than a passing grade.|그들의 불완전한 생각과 우리가 제안한 지각있는 계획간의 피상적인 유사점에 속지마시오. ; 당신의 리포트는 그 문제에 대해 피상적인 해석만을 내렸기 때문에 나는 합격 성적 이상을 줄 수가 없다.  참고:[+] cursory
SUPERFLUITY|n.:excess; overabundance:과다; 과잉|Please try not to include so many superfluous details in your report; just give me the bare facts.|리포트에 불필요한 세부 사항들을 그렇게 많이 써넣지 마라. 다만 사실만을 나에게 제출하라.  참고:[+] supernumerary
SUPERFLUOUS|a.:excessive; overabundant; unnecessary:여분의, 과잉의, 과다의|Please try not to include so many superfluous details in your report; just give me the bare facts.|리포트에 불필요한 세부 사항들을 그렇게 많이 써넣지 마라. 다만 사실만을 나에게 제출 하라.  참고:[+] supernumerary
SUPERIMPOSE|v.:place over something else:겹쳐 놓다|Your attempt to superimpose another agency in this field will merely increase the bureaucratic nature of our government.|이 분야에 또 다른 기관을 끌어들이려는 당신의 시도는 우리 정부의 관료만 더하게 만들 것이다.  참고:[+] overlay
SUPERNAL|a.:heavenly; celestial:하늘의; 천상의|His tale of supernal beings was skeptically received.|천상의 것들에 대한 그의 이야기는 회의적으로 받아들여졌다.  참고:[+] empyreal, unearthly
SUPERNUMERARY|n.:person or thing in excess of what is necessary; extra:정원 외의 사람, 과잉, 여분; 연극에서의 단역|His first appearance on the stage was as a supernumerary in a Shakespearean tragedy.|그의 첫 무대는 셰익스피어 비극에서 단역으로 출연한 것이었다.  참고:[+] overabundance, superfluity, surplus
SUPERSEDE|v. super(=over) + sed(=sit):take the place of ; put or use someone or something in the place of / cause to be set aside; replace; to replace:대신하다 ; 대체하다,경질하다 / -에 대신하다; 교체하다|By the 1920s, the automobile had already superseded the horse for most uses, both in cities and on the farm. ; This regulation will supersede all previous rules.; A new judge will be appointed to supersede the Judge Taylor.|1920년대에 벌써 자동차는 도시와 농촌에서 대부분의 용도에 말을 대신했다 . ; 이 규정이 이전의 모든 규칙들을 대신할 것이다.  참고:[+] displace, supplant
SUPINE|a.:lying on back:반듯이 누운|The defeated pugilist lay supine on the canvas.|패배한 권투 선수가 캔버스에 등을 대고 누웠다.  참고:[+] cf. vulpine (여우같은); [-] vigilant(방심하지 않는)
SUPPLANT|v. sup < sub(=under, in place of) + plant(=plant):take the place of ; take the place of someone, especially after getting him out of office / replace; usurp:대신하다 ; 대신들어앉다 / 대체하다|I know that love is fickle, but I never expected to be supplnted in her affections by a crumb like Danny Orr. ; Ferdinand Marcos was supplanted by Corazon Aquino as president of the Philippines.|랑이 변한다는 사실을 알고 있지만 나는 그녀의 사랑이 Danny Orr 같은 건달에게 넘어가리가고는 기대하지 않았다. ; 필리핀 대통령은 페르디난드 마르코스에서 코라손 아키노로 교체되었다.  참고:[+] displace, supersede
SUPPLE|a.:flexible; pliant:순응성 있는; 유연한|The angler found a supple limb and used it as a fishing rod.|낚시꾼은 유연한 큰 가지를 찾아서 그것을 낚싯대로 사용했다.  참고:[+] flexible, elastic, resilient
SUPPLIANT|a.:entreating; beseeching:탄원하는; 간청하는|He could not resist the dog's suppliant whimpering, and he gave it some food.|그는 그 개의 애원하며 낑낑거리는 소리를 듣다못해 먹을 것을 조금 주었다.  참고:[+] supplicatory; cf. supplant 대체하다,대신하다
SUPPLICATE|v. sup < sub(=under) + plic(=fold):make a humble petition to someone / petition humbly; pray to grant a favor:탄원하다,간청하다,애원하다 / 특혜를 내려달라고 빌다|Although I ask no special consideratopn for myself, I am not too proud to supplicate in behalf of my children. ; We supplicate Your Majesty to grant him amnesty.|나 자신을 위해 특별 고려를 부타가하지는 않지만 내 자녀들을 위해 간청할 만큼은 겸손하다. ; 우리는 황제에게 그를 사면해 줄 것을 간청했다.  참고:[+] beg, beseech, implore, importune, plead; [-] demand(요구하다)
SUPPOSITION|n. sup < sub(=under) + pos(=put):supposing ; guess ; hypothesis / surmise:가정 ; 추측 ; 가설|You may be right in your belief that Jan won't let us use her car, but remember that this is still only a supposition . ; I based my decision to confide in him on the supposition that he would be discreet.|Jan이 우리에게 그녀의 차를 쓰도록 허락하지 않으리라는 너의 생각은 옳을지도 모르지만 이것은 아직 추측 일 뿐이라는 사실을 기억해. ; 그를 신뢰하고자 하는 내 결정은 그가 사려 깊을 것이라는 추측에 근거를 두었다.  참고:[+] assumption, conjecture, postulation, presumption, speculation, theory; [-] certainty(확실함)
SUPPOSITITIOUS|a.:assumed; counterfeit; hypothetical:가정되는; 가짜의; 가설적인|I find no similarity between your supposititious illustration and the problem we are facing.|나는 당신의 가정된 설명과 우리가 직면하고 있는 문제 사이의 유사점을 찾지 못하겠다.  참고:[+] conjectural, hypothetical, supposed, suppositious
SUPPURATE|v.:create pus:곪다|The surgeon refused to lance the abscess until it suppurated.|외과 의사는 종기가 곪을 때까지 그것을 절개하지 않으려 했다.  참고:[+] fester
SURCEASE|n.:cessation:중지|He begged the doctors to grant him surcease from his suffering.|그는 의사들에게 고통을 그치게 해달라고 간청했다.  참고:[+] ceasing, halt, pause
SURFEIT|n.v. sur(=over, excessive) + feit < fect(=do, make):too much of anything, especially food and drink / [cause to]take too much of anything / cloy; overfeed; to eat an excessive amount:과다,과식,과음 / 과음[과식] 하[게 하]다, 물리[게 하]다 / 물리게 하다; 과식하다|I have had my surfeit of excuses and evasions; now I want action! ; I am surfeited with the sentimentality of the average motion picture film.; After surfeiting himself at the banquet, he felt too sleepy to enjoy the entertainment.|변명과 회피에 식상했다 . 나는 이제 행동이 필요하다. ; 나는 통상적인 영화의 감상적인 면에 진저리가 난다.  참고:[+] glut, gorge, sate satiate; [-] famish(ㄱ주리다)
SURLY|a.:bad-tempered and unfriendly / rude; cross; rude; arrogant:부루퉁한, 뚱한 / 퉁명스런; 시무룩한|Is there anything more unpleasant than to go to a store and find yourself in the hands of a surly salesperson? ; Because of his surly attitude, many people avoided his company.; His surly manner keeps him from having many friends.|가게로 가서 퉁명스런 점원을 대하는 것보다 더 불쾌한 일이 있을까? ; 그의 무례한 태도 때문에 많은 사람들이 그와 사귀는 것을 피했다.  참고:[+] sullen, dour
SURMISE|n.v. sur(=over) + mis(=send):guess / conjecture; to guess:추측,짐작 / 추측하다,짐작하다|I offered that explanation as a mere surmise , but to my surprise, it was generally accepted as an established truth. ; I surmise that he will be late for this meeting.; Since she is not at home, I surmise that she is on her way here.|나는 단순한 추측 으로 그렇게 설명했는게 그러나 놀랍게도 그것이 확정된 사실로 받아들여졌다. ; 나는 그가 이 모임에 늦을 것이라고 생각한다.  참고:[+] conjecture, suppose
SURMOUNT|v. sur(=over) + mount(=hill, rise):overcome difficulties or obstacles ; have on or over the top:[어려움,장애물을]극복하다,넘기다 ; ...의위에 놓다,얹다|The fact that Abraham Lincoln was able to surmount the handicap of limited education dose not mean that you should quit school. ; He had to surmount many obstacles in order to succeed.|Abraham Lincoln이 교육을 받지못한 약점을 극복했다는 사실이 네가 학교를 그만 두어야한다는 것을 뜻하지는 않는다. ; 그는 성공하기 위해 많은 장애를 극복하였다.  참고:[+] conquer, surpass
SURPASS|v.:evceed:능가하다, 넘다 / 능가(초월)하다|Her SAT scores surpassed our expectations.|그녀의 대입 학력고사 점수는 우리의 기대치를 능가했다.  참고:[+] transcend
SURREPTITIOUS|a. sur < sub(=under) + rep < rap(=take):done,got made, etc.in a secret,stealthy way,clandestine:은밀한,몰래하는,비밀의,뒤가구린|If, as they claim, they were not aware of the illegal character of their undertaking, why did they plan it in a surreptitious way. ; News of their surreptitious meeting gradually leaked out.|그들의 주장대로 자기들이 일하는 일의 불법성을 몰랐다면 왜 그들은 그것을 비밀리에 계획했을까? ; 그들의 비밀 회담에 대한 소식은 점차적으로 누설되었다.  참고:[+] clandestine, covert, furtive, stealthy, sub-rosa
SURROGATE|n.:substitute:대리인|For a fatherless child, a male teacher may become a father surrogate.|아버지가 없는 학생들에게 남교사는 아버지 대리인이 될 수 있을 것이다.  참고:[+] alternate, deputy
SURVEILLANCE|n. sur(=over) + vei(=look):close watch kept on person suspected of wrong doing, etc. ; supervision / watching; guarding:[용의자등의]감시 ; 감독 / 지킴;|Only someone utterly naive about international affairs would shoked to learn that every nation tries to keep its potential enemies under constant surveillance . ; The FBI kept the house under constant surveillance in the hope of capturing all the criminals at one time.|극제문제에 대해서 아주 순진한 사람만이 모든 나라가 앞으로 적이 될 수 있는 나라를 계속적인 감시 하에 둔다는 사실을 알고 충격을 받을 것이다. ; 연방 수사국은 모든 범죄자들을 한꺼번에 일망타진하기 위해 그 집을 계속해서 감시했다.  참고:[+] vigilance
SUSCEPTIBLE|a. sus < sub(=under, intensive) + cept(=take):easily influenced by feelings ; impressionable ; sensitive ; easily influenced by ; allowing ; capable of / having little resistance, as to a disease:감정에 좌우되기 쉬운 ; 감수성이 강한 ; 민감한 ; 감동되기 쉬운 ; 허용하는 ; ...이 가능한 / 영향받기 쉬운|Students who have been well trained in the social sciences should not be susceptible to the false propaganda and cheap fallacies of racism. ; He was a very susceptible young man, and so his parents worried that he might fall into bad company.|회과학교육을 잘 받은 학생은 인종주의의 거짓선전과 하찮은 오류에 좌우되지 않아야 한다. ; 그는 마음이 여린 청년이었기 때문에 그의 부모들은 그가 나쁜 친구들에 게 빠질까 봐 걱정하였다.  참고:[+] liable, prone, sensitive
SUSTENANCE|n.:means of support, food, nourishment:자양물; 음식; 영양물|In the tropics, the naives find sustenance easy to obtain, due to all the fruit trees.|열대 지방의 원주민들을 과일 나무가 있어서 먹을 것을 구하기는 쉽다.  참고:[+] aliment, nutrient; maintenance, subsistence
SUTURE|n.:stitches sewn to hold the cut edges of a wound or incision:봉합; 봉합용 실|We will remove the sutures as soon as the wound heals.|치유되면 곧바로 봉합실을 제거할 것이다.  참고:[+] cf. tonsure 삭발
SWARTHY|a.:dark; dusky:검은, 까무잡잡한|Despite the stereotypes, not all Italians are swarthy; many are fair and blond.|대부분 그렇지만, 모든 이탈리아인들이 검은 것은 아니다. 많은 사람이 희다.  참고:
SWATHE|v.:wrap around; bandage:싸다; 감다|When I visited him in the hospital, I found him swathed in bandages.|내가 입원 중인 그를 방문했을 때 그는 붕대로 감겨져 있었다.  참고:[+] enwrap, wrap
SWELTER|v.:be oppressed by heat:더위 먹다|I am going to buy an air conditioning unit for my apartment as I do not intend to swelter through another hot and humid summer.|또다시 여름의 찌는 듯한 더위에 지치고 싶지 않아서 나는 아파트에 에어컨을 사서 달려고 한다.  참고:[+] sweat
SWERVE|v.:deviate; turn aside sharply; to turn aside; to veer:벗어나다, 빗나가다|The car swerved wildly as the driver struggled to regain control of the wheel.; The driver had to swerve his car in order to avoid hitting a little boy on a bicycle.|운전자가 바퀴의 제어를 되찾으려고 하자 차는 난폭하게 길을 벗어났다.  참고:[+] digress, stray
SWINDLER|n.:cheat:기꾼, 협잡꾼|She was gullible and trusting, as easy victim for the first swindler who came along.|그녀는 잘 속고 잘 믿었다. 그래서 나타난 첫 번째 사기꾼의 손쉬운 희생자가 되고 말았다.  참고:[+] defrauder, trickster
SYBARITE|n.:lover of luxury:방탕아, 쾌락주의자|Rich people are not always sybarites; some of them have little taste for a life of luxury.|부유한 사람들이 항상 방탕한 사림인 것은 아니다. 그들 중 일부는 사치스런 생활에 거의 흥미가 없다.  참고:[+] hedonist
SYCOPHANTIC|a.:servilely flattering:알랑대는; 아첨하는|The king enjoyed the servile compliments and attentions of the sycophants in his retinue.|왕은 수행원 중에 있는 아첨꾼들의 아첨과 비열한 찬사를 들었다.  참고:[+] cf. sycophant (아첨꾼); 사이코들은 환상적으로 아첨한다.... (sycophantic)
SYLLOGISM|n. log(=speech):a formal argument with a major and minor premise and a conclusion / logical formula utilizing a major premise, a minor premise and a conc:|"All Romans are Italians, all Italians are Europeans; therefore, all Romans are Europeans" is an example of a syllogism . ; There must be a fallacy in this syllogism; I cannot accept the conclusion.|"모든 로마인은 아탈리아인이고 모든 이탈리아인은 유럽인이다. 그래서 모든 로마인은 유럽인이다."라는 말은 삼단논법의 한 예이다. ; 이 삼단논법에는 오류가 있음에 틀림없다. 나는 그 결론을 받아들일 수 없다.  참고:
SYLVAN|a.:pertaining to the woods; rustic:숲의; 시골의|His paintings of nymphs in sylvan backgrounds were criticized as overly sentimental.|숲을 배경으로 해서 그려진 그의 미소녀의 그림들은 지나치게 감상적이라는 비평을 받았다.  참고:[+] woody; bucolic, pastoral
SYMBIOSIS|n. bio(=life):harmonic association of different organisms, etc. / intrdependent relationship, often mutually beneficial:공생|The trade agreement was based on the symbiosis of the two nations and furthered it. ; Both the crocodile bird and the crocodile derive benefit from their symbiosis; pecking away at food particles embedded in the crocodile's teeth, the bird derives nourishment: the crocodile, meanwhile, derives proper dental hygiene.|그 무역협정은 양국의 공생에 근거를 두었고 또 그것을 촉진시켰다. ; 악어새와 악어는 공생으로 서로 이익을 얻는다. 악어의 이빨에 낀 음식 찌꺼기를 쪼아 먹으면서 악어새는 영양분을 얻고 그동안 악어는 독특한 치아 위생을 얻는다.  참고:
SYMMETRY|n. metr(=measure):a balanced arrangement in size and form / arrangement of parts so that balance is obtained; congruity:균형, 조화, 대칭 / 균형이 잡히도록 부분들을 배열함; 좌우상칭|The architect admired the symmetry of the columns. ; The addition of a second tower will give this edifice the symmetry which it now lacks.|건축가는 기등의 좌우대칭을 칭찬했다. ; 제 2의 탑이 증축되면 이 건물에 지금은 결여되어 있는 균형이 잡힐 것이다.  참고:
SYNCHRONOUS|a.:similarly timed; simultaneous with:동시에 일어나는|We have many examples of scientists in different parts of the world who have made synchronous discoveries.|세계의 여러 다른 지역에서 동시 발견을 한 과학자들의 예는 많다.  참고:[+] concurrent, contemporary; [-] occurring at different times(다른 시간에 일어나는); [-] out-of-shape(벗어난 양상)
SYNOPTIC|a.:providing a general overview; summary:개요의|The professor turned to the latest issue of "Dissertation Abstracts" for a synoptic account of what was new in the field.|교수는 이 분야에서 무엇이 새로운 것인지에 대한 개요 설명을 위해 마지막 문제인 '논문 요약'으로 넘어갔다.  참고:
SYNTHESIS|n. thes(=to place):a combination of parts to form a whole / combining parts into a whole:종합, 합성|This bill is a synthesis of the work of several senators. ; Now that we have succeeded in isolating this drug, our next problem is to plan its synthesis in the laboratory.|이 법안은 상원의원 몇 사람의 연구를 종합 한 것이다. ; 이제 이 약을 성공적으로 분리해냈으니 다음 문제는 실험실에서 합성하는 계획을 세우는 것이다.  참고:
SYNTHETIC|a. syn(=together) + thet/thes(=put) +ic(=nature of):of synthesis ; produced by chemical synthesis,rather than of natural origin, not real or genuine ; tending to form many component words / artificial; resulting from synthesis:종합의 ; 합성의,인조의 ; <<언어가>> 종합적인|The explanation she offered for her failure to be present seemed to me far-fetched and synthetic . ; During the twentieth century, many synthetic products have replaced the natural products.|참석하지 못한 데 대해 그녀가 하는 설명은 억지로 꾸며낸 것 같다. ; 20세기 동안 많은 합성물이 천연물을 대체했다.  참고:[+] man-made
TACIT|a.:understood; not put into words:무언의; 암묵의|We have a tacit agreement based on only a handshake.|악수에는 그것에 상당하는 어떤 무언의 의미가 있다.  참고:[+] alluded, implicit, intimated; silent, unexpressed, unuttered; [-] explicit(명백한)
TACITURN|a.:habitually silent; talking little; unspoken; silent:말없는; 입이 무거운|New Englanders are reputedly taciturn people; He is a very taciturn person; he never speaks unnecessarily.|뉴잉글랜드 사람들은 말이 없는 사람이라고 평판이 나 있다.  참고:[+] reserved, reticent
TACTILE|a.:pertaining to the organs or sense of touch:촉각의|His calloused hands had lost their tactile sensitivity.|그의 못 박힌 손들은 촉각 감각을 상실했다.  참고:
TAINTED|a.:contaminated; corrupt:오염된; 타락한|Health authorities are always trying to prevent the sale and use of tainted food.|보건 당국은 오염된 음식의 판매와 이용을 늘 막으려고 애쓰고 있다.  참고:[-] wholesome(건전한, 유익한)
TALISMAN|n.:charm:부적호신부|She wore the talisman to ward off evil.|그녀는 악을 쫓기 위하여 호신부를 썼다.  참고:
TALON|n.:claw of bird:발톱|The falconer wore a leather gauntlet to avoid being clawed by the hawk's talons.|매를 부리는 사람은 매의 발톱에 할퀴지 않으려고 가죽장갑을 끼었다.  참고:
TANGENTIAL|a.:peripheral; only slightly connected; digressing:접하는; (이야기 따위가)옆길로 새는|Despite Clark's attempts to distract her with tangential remarks, Lois kept on coming back to her main question: why couldn't he come out to dinner wiht Superman and her?|주변 이야기로 그녀의 마음을 딴 데로 돌리려는 클락의 노력에도 불구하고 로이스는 그녀의 주요 질문 - 왜 그는 슈퍼맨과 그녀를 데리고 식사하러 나갈 수 없었을까? - 으로 계속 돌아왔다.  참고:
TANGIBLE|a. tang(=touch) + ible(=capable of):that can be perceived by touch ; clear and definite ; real / able to be touched; palpable:만져서 알 수 있는 ; 명확한,명백한 ; 실체적인,현실의 / 만질 수 있는; 유형의, 실체가 있는; 이해할 수 있는|Although there was no tangible reason for my sense of danger, I could not shake off the feeling that something terrible was about to happen. ; Although Tom did not own a house, he had several tangible assets - a car, a television, a PC - that he could sell if he needed cash.|나의 위험 의식에 대한 뚜렷한 이유는 없지만 어떤 무서운 일이 일어날 것이라는 느낌을 떨쳐 버릴 수 없다. ; 톰은 집을 소유하고 있지는 않았지만 현금이 필요할 때 팔 수 있는 차, TV, PC등 몇 가지의 유형 자산을 자기고 있었다.  참고:[+] detectable, discernible, perceptible
TANTALIZE|v. tantal(= Tantalus):keep just out of reach something that somebody desires ; raise hopes that cannot be realized / tease; torture with disappointment:감질나게 하다 ; 실현될 수 없는 것을 바라게 하다 / 집적거리다; 실망시켜 괴롭히다|How can you be so cruel as to tantalize the poor dog by offering him tidbits that you will never let him have? ; Tom loved to tantalize his younger brother.|먹도록 허락하지 않을 먹이를 보여줘서 그 가련한 개를 안달 하게 할 만큼 그렇게 당신은 잔인할 수 있어요? ; 탐은 어린 동생들을 집적거러기를 좋아했다.  참고:
TANTAMOUNT|a.:equal:동등한|Your ignoring their pathetic condition is tantamount to murder.|그들의 가련한 처지를 간과하는 것은 살인과 같은 것이다.  참고:[+] equivalent, identical
TANTRUM|n.:fit of petulance; caprice:발끈 화내기, 성내기; 변덕|The child learned that he could have almost anything if he went into tantrums.|그 아이는 자기가 성을 내면 어떠한 것도 거의 가질 수 있음을 알았다.  참고:[+] outburst, paroxysm; go [fly, get] into one's tantrums 불끈 화를 내다
TAPER|n.:candle:양초|He lit the taper on the windowsill.|그는 창턱에 양초를 두었다.  참고:
TARANTULA|n.:venomous spider:독거미(이탈리아의 Taranto 지방산 독거미)|We need an antitoxin to counteract the bite of the tarantula.|우리는 독거미에게 물린 것을 중화하기 위해 항독소가 필요하다.  참고:
TARN|n.:small mountain lake:속의 작은 호수|This mountainous area is famous for its picturesque tarns and larger lakes.|이 산악 지역은 아름다운 작은 호수와 큰 호수로 유명하다.  참고:
TARRY|v.:delay; dawdle:늑장부리다|We can't tarry if we want to get to the airport on time.|정각에 공항에 도착하려면 늑장을 부릴 수가 없다.  참고:[+] dally, drag, loiter, procrastinate
TATTERDEMALION|n.:ragged fellow:누더기를 입은 사람|Do you expect an army of tatterdemalions and beggars to put up a real fight?|당신은 누더기를 입은 사람들과 거지들이 진짜 싸움을 할 것이라고 생각하는가?  참고:[+] ragamuffin
TAURINE|a.:like a bull:황소의, 황소 같은|The bull charged into the ring, a mighty specimen of taurine power.|황소는 황소 같은 힘의 거대한 표본인 경기장 내로 돌진했다.  참고:
TAUT|a.:tight; ready:엄격한, 팽팽한; (배가)준비가 된, 긴장된|The captain maintained that he ran a taut ship.|선장은 잘 정비된 배를 몰았다고 주장했다.  참고:[+] tense
TAUTOLOGICAL|a.:needlessly repetitious:불필요하게 반복되는|In the sentence "It was visible to the eye," the phrase "to the eye" is tautological.|"It was visible to the eye". 라는 문장에서 "to the eye"는 불필요한 말의 반복이다.  참고:[+] redundant
TAUTOLOGY|n.:unnecessary repetition; pleonasm:불필요한 반복, 같은 말의 반복; 중복어|"Joyful happiness" is an illustration of tautology.|"기쁜 행복"은 동의어 반복의 예다.  참고:[+] redundancy, verbiage
TAWDRY|a.:cheap and gaudy:값싸고 화려한; 번지르르한, 야한, 천박한|He won a few tawdry trinkets in Coney Island.|그는 코니 섬에서 몇 가지 장신구들을 얻었다.  참고:[+] meretricious
TAXONOMIST|n.:specialist in classifying (animals, etc.):분류학자|Dental patterns often enable the taxonomist to distinguish members of one rodent species from those of another.|치형은 분류학자에게 한 설치류의 종을 다른 설치류 종과 구분할 수 있게 해 준다.  참고:
TEDIUM|n.:boredom; weariness:싫증; 진력, 지루함, 단조로움|We hope this radio will help overcome the tedium of your stay in the hospital.|이 라디오가 당신이 입원해 있는 동안 지루하지 않게 하는데 도움이 되길 바란다.  참고:[+] ennui, irksomeness, monotony; a. tedious
TELEOLOGY|n.:doctrine of final causes:목적론|The questions propounded by teleology have long been debated in religious and scientific circles.|목적론에 의해 제출된 문제들은 종교 및 과학 단체들에서 토의 된지 오래다.  참고:
TEMERARIOUS|a.:rash:무모한, 저돌적인|Mountain climbing at this time of year is temerarious and foolhardy.|1년 중 이맘때 등산을 하는 것은 무모하고 어리석은 짓이다.  참고:[+] adventurous, audacious, foolhardy, reckless, venturous
TEMERITY|n.:boldness; rashness: 무모함|Do you have the temerity to argue with me?|당신은 나와 논쟁할 배짱이 있는가?  참고:[+] audacity, foolhardiness, heedlessness, recklessness, precipitateness
TEMPER|v.:restrain; blend; toughen:조절하다, 완화하다; 단련시키다 / 기질|His hard times in the army only served to temper his strength.|군대에서 보낸 힘든 시기들은 그의 강인함을 단련시키는데 만 도움이 되었다.  참고:[+] moderate, modulate; anneal, harden
TEMPERATE|a.:restrained; self-controlled:절제하는 / 금주의|Noted for his temperate appetite, he seldom gained weight.|절제하는 식욕으로 유명한 그는 거의 체중이 늘지 않았다.  참고:[+] abstemious, abstinent, continent
TEMPO|n.:speed of music:빠르기 / 속도; 박자|I find the conductor's tempo too slow for such a brilliant piece of music.|그렇게 뛰어난 악곡에 비해 나는 지휘자의 템포가 너무 느리다고 생각한다.  참고:[+] pace
TEMPORAL|a.:not lasting forever; limited by time; secular:일시적인; 잠시의; 세속적인 / 현세의|At one time in our history, temporal rulers assumed that they had been given their thrones by divine right.|우리 역사에 있어 한 때 잠시 권력을 잡았던 통치자들은 신권에 의해 그들의 왕좌를 부여 받았다고 생각했다.  참고:[+] ephemeral, evanescent, transient; mundane, worldly
TEMPORIZE|v. tempor/time:delay making a decision, giving an answer, stating one's purpose etc. ; act so as to gain time / avoid committing oneself;:<결정, 대답, 목적의 진술 따위를> 늦추다 ; 시간을 벌려고 행동하다, 타협하다 / 밝히기를 피하다, 우물쭈물하다; 시간을 벌다|I would no more try to work out an "amiable compromise" with Horrible Harry than I would seek to temporize with the man-eating shark. ; I cannot permit you to temporize any longer; I must have a definite answer today.|내가 Horrible Harry와 "우호적인 타협"을 하려고 하지 않는 것은 식인 상어와의 타협을 시도하지 못하는 것과 같다. ; 나는 더 이상 당신이 우물쭈물하는 것을 참을 수 없다. 오늘은 확실한 답변을 들어야 겠다.  참고:[+] procrastinate
TENACIOUS|a.:holding fast:집요한, 단단히 잡고 있는, 붙어서 떨어지지 않는|I had to struggle to break his tenacious hold on my arm.|나는 그가 내 팔을 꽉 잡는 것을 뿌리치느라 애썼다.  참고:[+] adhesive, cohesive
TENACITY|n.:firmness; persistency; adhesiveness:확고함; 고집; 집요, 끊질김|It is extremely difficult to overcome the tenacity of a habit such as smoking|흡연 같은 끈질긴 버릇을 고치는 것은 대단히 어렵다.  참고:[+] obstinacy, pertinacity
TENDENTIOUS|a.:having an aim; designed to further a cause:<문서,발언 등이> 특정 입장을 옹호하는 경향이 있는, 편견의|The editorials in this periodical are tendentious rather than truth-seeking.|이 정기 간행물의 사설은 진리 추구보다 오히려 다른 의도를 가지고 있다.  참고:[+] jaundiced, partial, prejudiced, prepossessed; [-] unbiased(공정한)
TENEBROUS|a.:dark; gloomy:어두운; 우중충한|We were frightened as we entered the tenebrous passageways of the cave.|우리는 동굴의 어두운 통로에 들어섰을 때 무서웠다.  참고:[+] dim, dusky, murky, obscure; cf. nebulous (안개 낀, 흐릿한)
TENET|n.:doctrine; dogma:원리; 교리|The agnostic did not accept the tenets of their faith.|불가지론자는 그들 신앙의 신조를 받아들이려 하지 않았다.  참고:[+] credo, creed
TENSILE|a.:capable of being stretched:잡아늘일 수 있는|Mountain climbers must know the tensile strength of their ropes.|등산가들은 자기들이 사용하는 밧줄의 장력을 알고 있어야 한다.  참고:[+] stretchable
TENTATIVE|a.:provisional; experimental; uncertain; probable:임시의; 실험의|You tentative plans sound plausible; let me know when the final details are worked out.; Let's decide upon a tentative date for the next meeting; we can always change it if we need to.|당신의 시안은 그럴듯해 보인다. 최종적인 세부 사항이 만들어질 때 나에게 알려달라.  참고:[+] conditional, temporary; tent치고 임시로 실험하는(tentative)
